,index,feature,importance,importance_normalized,cumulative_importance
74,40,"('tank_level_pre_rinse', 'min_10')",5140.429955072467,0.0014663527004304495,0.6886205918364
75,921,"('return_flow__return_temperature', 'mean', 'pre_rinse')",5116.23136767942,0.001459449841276541,0.6900800416776766
76,437,"('return_temperature', 'max', 'pre_rinse')",5112.372223945892,0.0014583489867012493,0.6915383906643778
77,491,"('conductivity', 'kurt', 'caustic')",5104.966901185206,0.001456236553476286,0.6929946272178541
78,447,"('return_temperature', 'sum', 'caustic')",5093.455878380924,0.0014529529333275242,0.6944475801511816
79,10,"('supply_pressure', 'min_10')",5089.349345300802,0.001451781508772755,0.6958993616599544
80,1047,"('supply_flow_*_return_turbidity', 'mean', 'caustic')",5047.11668269674,0.001439734271596665,0.6973390959315511
81,1153,"('conductivity_*_return_turbidity', 'sum', 'pre_rinse')",5017.805406486941,0.0014313729731451827,0.6987704689046963
82,29,"('return_turbidity', 'std_10')",5016.6368264970215,0.0014310396254604823,0.7002015085301567
83,539,"('return_flow', 'std', 'caustic')",4964.82140950893,0.0014162588236037344,0.7016177673537605
84,425,"('supply_pressure', 'skew', 'pre_rinse')",4909.7717145626675,0.001400555415611049,0.7030183227693715
85,933,"('return_flow__return_temperature', 'median', 'pre_rinse')",4893.071220833859,0.001395791453395477,0.704414114222767
86,283,"('supply_pressure', 'median_500')",4882.4341823696195,0.001392757144940164,0.7058068713677071
87,89,"('tank_concentration_acid', 'std_10')",4796.943493784395,0.0013683701766973812,0.7071752415444045
88,31,"('return_turbidity', 'median_10')",4791.388378952247,0.0013667855315010616,0.7085420270759055
89,959,"('return_flow__return_conductivity', 'sum', 'caustic')",4692.638390001478,0.0013386162316115556,0.7098806433075171
90,1141,"('conductivity_*_return_turbidity', 'max', 'pre_rinse')",4616.288647637206,0.001316836798398475,0.7111974801059155
91,999,"('supply_flow_*_supply_pressure', 'skew', 'caustic')",4613.103830932343,0.0013159283015185704,0.7125134084074342
92,479,"('conductivity', 'sum', 'caustic')",4582.832997192325,0.001307293280871094,0.7138207016883052
93,1116,"('conductivity_*_return_temperature', 'std', 'intermediate_rinse')",4521.2560517178945,0.0012897279174540533,0.7151104296057593
94,575,"('tank_level_pre_rinse', 'sum', 'caustic')",4498.764604779313,0.0012833120350778267,0.7163937416408371
95,1131,"('conductivity_*_return_temperature', 'kurt', 'caustic')",4412.212094559342,0.001258622172906891,0.717652363813744
96,38,"('tank_level_pre_rinse', 'mean_10')",4334.776589779665,0.0012365330164481345,0.7188888968301921
97,1031,"('supply_flow_*_return_conductivity', 'skew', 'caustic')",4306.012255339707,0.0012283277379304307,0.7201172245681225
98,291,"('conductivity', 'max_500')",4221.9834247712915,0.0012043577775000933,0.7213215823456226
99,119,"('return_turbidity', 'std_50')",4183.3573137648045,0.0011933393407785504,0.7225149216864012
100,1179,"('return_temperature_*_return_turbidity', 'std', 'caustic')",4160.586406378206,0.001186843739860063,0.7237017654262613
101,211,"('return_turbidity', 'median_200')",4157.208770201078,0.0011858802395356364,0.7248876456657969
102,220,"('tank_level_pre_rinse', 'min_200')",4155.228562690456,0.00118531536798676,0.7260729610337836
103,1072,"('supply_flow_*_return_temperature', 'min', 'intermediate_rinse')",4148.4144390229385,0.001183371579484969,0.7272563326132686
104,1107,"('conductivity_*_return_temperature', 'max', 'caustic')",4102.108825863478,0.0011701624974636373,0.7284264951107322
105,1055,"('supply_flow_*_return_turbidity', 'sum', 'caustic')",4098.50728860489,0.001169135127393237,0.7295956302381255
106,30,"('return_turbidity', 'sum_10')",4072.818487611475,0.001161807171748137,0.7307574374098736
107,533,"('return_flow', 'max', 'pre_rinse')",4035.2013093012765,0.0011510765419214814,0.7319085139517951
108,1073,"('supply_flow_*_return_temperature', 'min', 'pre_rinse')",4024.1726245994473,0.001147930512944126,0.7330564444647393
109,1071,"('supply_flow_*_return_temperature', 'min', 'caustic')",4018.008555475345,0.001146172158198557,0.7342026166229378
110,963,"('return_flow__return_conductivity', 'median', 'caustic')",4010.1530159391864,0.001143931296692251,0.7353465479196301
111,280,"('supply_pressure', 'min_500')",3984.3737267103515,0.0011365775284848702,0.7364831254481149
112,1119,"('conductivity_*_return_temperature', 'sum', 'caustic')",3959.1806443230844,0.0011293909809171356,0.737612516429032
113,53,"('tank_level_acid', 'std_10')",3934.712602772428,0.00112241125760301,0.7387349276866351
114,1029,"('supply_flow_*_return_conductivity', 'median', 'pre_rinse')",3930.8085649329505,0.0011212975965905004,0.7398562252832256
115,735,"('tank_temperature_caustic', 'sum', 'caustic')",3903.113200118796,0.0011133972510280505,0.7409696225342537
116,1135,"('conductivity_*_return_turbidity', 'min', 'caustic')",3893.346325369946,0.0011106111643995166,0.7420802336986532
117,367,"('supply_flow', 'min', 'caustic')",3882.3276895544273,0.0011074680019550595,0.7431877017006082
118,507,"('return_turbidity', 'std', 'caustic')",3801.657782771389,0.001084456203975388,0.7442721579045836
119,856,"('return_flow__return_turbidity', 'mean', 'intermediate_rinse')",3801.51751756714,0.0010844161920964546,0.74535657409668
120,991,"('supply_flow_*_supply_pressure', 'sum', 'caustic')",3781.1240544313173,0.001078598777988743,0.7464351728746688
121,1017,"('supply_flow_*_return_conductivity', 'mean', 'pre_rinse')",3745.1673134897223,0.0010683418024751757,0.7475035146771439
122,1187,"('return_temperature_*_return_turbidity', 'median', 'caustic')",3731.0950695055885,0.0010643275715358183,0.7485678422486798
123,2,"('supply_flow', 'mean_10')",3693.0724934385908,0.0010534812984457343,0.7496213235471255
124,571,"('tank_level_pre_rinse', 'std', 'caustic')",3687.2892607744657,0.0010518315806383963,0.7506731551277639
125,208,"('return_turbidity', 'min_200')",3677.8294186058283,0.0010491330777445012,0.7517222882055083
126,863,"('return_flow__return_turbidity', 'sum', 'caustic')",3675.4121214627758,0.0010484435225468938,0.7527707317280552
127,476,"('conductivity', 'std', 'intermediate_rinse')",3661.1854424569874,0.0010443852376639902,0.7538151169657192
128,499,"('return_turbidity', 'max', 'caustic')",3659.5341763172455,0.0010439141995243204,0.7548590311652436
129,1188,"('return_temperature_*_return_turbidity', 'median', 'intermediate_rinse')",3657.4907253967863,0.0010433312872384609,0.755902362452482
130,767,"('tank_temperature_acid', 'sum', 'caustic')",3653.1287236411063,0.0010420869880048117,0.7569444494404868
131,519,"('return_turbidity', 'skew', 'caustic')",3612.9334172472363,0.0010306209245450578,0.7579750703650319
132,472,"('conductivity', 'mean', 'intermediate_rinse')",3607.097567829117,0.0010289561973474584,0.7590040265623793
133,617,"('tank_level_caustic', 'skew', 'pre_rinse')",3565.957467594017,0.0010172206231633982,0.7600212471855428
134,436,"('return_temperature', 'max', 'intermediate_rinse')",3524.666750815108,0.001005442084290066,0.7610266892698329
135,493,"('conductivity', 'kurt', 'pre_rinse')",3509.452412346402,0.0010011020608885536,0.7620277913307214
136,977,"('supply_flow_*_supply_pressure', 'min', 'pre_rinse')",3478.479949786722,0.0009922668944705088,0.7630200582251919
137,585,"('tank_level_pre_rinse', 'skew', 'pre_rinse')",3426.982136941677,0.0009775766919793575,0.7639976349171713
138,845,"('tank_concentration_acid', 'kurt', 'pre_rinse')",3402.634859794318,0.0009706314177697695,0.7649682663349411
139,47,"('tank_level_caustic', 'std_10')",3382.765702979943,0.0009649635666357832,0.7659332299015769
